9.77889,46.74389,"Mobilhomepark Rinerlodge; 7277 Davos-Glaris"
7.34056,47.36250,"Place de Parc Gros-Pré Monsieur; 2800 Delémont"
6.95500,46.92139,"Parkplatz am Hafen Portalban; 1568 Delley-Portalban"
7.76611,47.06556,"Reisemobilstellplatz Blueberry Hill; 3465 Dürrenroth"
6.64222,46.63833,"Parking Place du Pont; 1040 Echallens"
9.16222,46.91472,"Sportbahnen Elm; 8767 Elm"
9.21833,47.24111,"Stellplatz Gill; 9651 Ennetbühl"
8.85972,47.64472,"Stellplatz beim Camping Hüttenberg; 8264 Eschenz"
6.86306,46.85972,"Ferme de la Corbière; 1470 Estavayer-le-Lac"
6.60833,46.59667,"Centre Sports et Loisirs; 1037 Etagnières"
8.17889,46.83222,"Parkplatz an der Kirche; 6074 Giswil"
6.63389,46.80278,"Camping VD 24 Le Pécos; 1422 Grandson"
7.07028,46.28306,"Stellplatz am Tourismusbüro; 1882 Gryon"
7.26306,46.38222,"Stellplätze am Campingplatz Heiti; 3785 Gsteig bei Gstaad "
7.88750,47.49694,"Stellplatz Asphof; 4465 Hemmiken"
7.86861,47.11583,"Stellplatz am Flyer-Werk; 4950 Huttwil"
9.60889,47.35917,"BP-Service Kriessern; 9451 Kriessern"
6.58778,46.97167,"Parkplatz am Lac de Taillères; 2406 La Brévine"
7.08833,47.06083,"Camping La Plage; 2520 La Neuveville"
7.78056,47.22472,"Lexa Wohnmobile; 4900 Langenthal"
6.73028,46.99667,"Place du Bugnon; 2316 Les Ponts-de-Martel"
7.63417,46.31083,"Stellplatz am Hexenplatz; 3952 Leuk"
8.80083,46.16028,"Reisemobilplatz Locarno; 6600 Locarno"
8.17083,46.73389,"Alpencamping; 3860 Meiringen"
8.92083,46.12667,"Monte Tamaro Gondelbahn; 6802 Monteceneri"
6.88944,46.44083,"Parkplatz an der Salle des Omnisports; 1820 Montreux"
6.95722,47.00111,"Wohnmobil-Stellplatz Neuchâtel; 2000 Neuchâtel"
8.60861,47.67389,"Parkplatz P 4 am Rheinfall; 8212 Neuhausen"
6.22778,46.36944,"Parkplatz am Freibad; 1260 Nyon"
6.82194,46.57194,"Parkplatz an den Sportanlagen Place de Sport; 1610 Oron-la-Ville"
6.93806,46.82000,"Parkplatz Place de la Concorde; 1530 Payerne"
7.22444,47.22972,"Parkplatz vor der Salle de Fête/Tennishalle; 2732 Reconvilier"
6.91778,46.69750,"Parkplatz am Salle de Gymnastique; 1680 Romont"
7.93389,46.11083,"Reisemobilplatz P 4; 3906 Saas-Fee"
7.16694,46.15972,"Relais & Camping de la Sarvaz; 1913 Saillon"
6.77361,46.89194,"Stellplatz im Hafen; 2024 Saint-Aubin-Sauges"
6.98667,47.01083,"Stellplatz beim Hafen; 2072 Saint-Blaise"
7.42556,46.25556,"Parkplatz am Lac Souterrain; 1958 Saint-Léonard"
7.14056,47.33389,"Hotel & Camping Tariche; 2882 Saint-Ursanne"
7.03167,46.92333,"Parc Relais HEP Vacances; 1585 Salavaux"
10.36750,46.94917,"Reisemobilplatz Samnaun; 7563 Samnaun"
9.40444,47.43361,"Parkplatz am Krontal-Stadion; 9001 Sankt Gallen"
9.59250,46.59611,"Reisemobil-Stellplatz Camping Julia; 7460 Savognin"
9.68750,46.97028,"Hotel-Gasthof Prättigauerhof; 7220 Schiers"
10.29917,46.79139,"Campingplatz Gurlaina; 7550 Scuol"
10.36333,46.81639,"Camping Sur En; 7554 Sent"
7.72750,46.72056,"Biohof Berner Oberland; 3655 Sigriswil"
9.59278,46.34361,"Tankstelle Servizio Esso e negozio; 7605 Stampa"
8.98444,47.66833,"Stellplatz am Schützengraben; 8266 Steckborn"
9.14361,46.76056,"Camping Surcuolm; 7138 Surcuolm"
9.62389,46.56111,"Wohnmobil-Stellplatz an der Julia; 7454 Tinizong-Rona"
9.12333,47.65861,"Camping Oase; 8274 Tägerwilen"
7.77694,46.06889,"Parking Taxi Christophe; 3929 Täsch bei Zermatt"
9.30972,47.19694,"Hotel-Restaurant Post; 9657 Unterwasser"
9.17361,46.60917,"Talstation der Bergbahn Vals; 7132 Vals"
7.39917,46.21361,"Parkplatz Relais des Reines; 1981 Vex"
8.41000,47.03250,"Bauernhof Gerbeweid; 6353 Weggis"
7.99778,47.11917,"Wohnmobil-Stellplatz an Feuerwehrmagazin; 6130 Willisau"
9.56417,46.91889,"Wohnmobile & Wohnwagen Lüthi; 7203 Zizers"
7.37806,46.56278,"Camping Vermeille; 3770 Zweisimmen"
6.10306,50.76111,"Platz für Camping; 52066 Aachen"
10.10583,48.84528,"Wohnmobil-Stellplatz am Hirschbach-Stadion; 73430 Aalen"
10.07806,48.82000,"Parkplatz der Limes Thermen; 73430 Aalen"
8.06000,50.23083,"Reisemobil-Stellplatz Im Brühl; 65326 Aarbergen"
10.87194,49.13806,"Reisemobil-Stellplatz Badehalbinsel Absberg; 91720 Absberg"
8.07333,48.62444,"Wohnmobil-Stellplatz Achern; 77855 Achern"
10.87611,49.68694,"Gasthaus Niebler; 91325 Adelsdorf"
10.87472,49.68917,"Brauereigasthof Zum Löwenbräu; 91325 Adelsdorf"
10.45278,53.28889,"Sport- und Freizeitzentrum; 21365 Adendorf"
12.24944,50.30750,"Parkplatz vor dem Waldbad; 08626 Adorf"
9.26139,52.05944,"Hotel-Restaurant Waldquelle; 31855 Aerzen"
7.00250,52.07472,"Kirmesplatz; 48683 Ahaus"
9.71222,54.39667,"Ferienplatz bei Matz; 24358 Ahlefeld-Bistensee"
7.89667,51.75556,"Freizeitbad Berliner Park; 59227 Ahlen"
7.91889,51.71000,"Gasthof Zur Post; 59227 Ahlen"
9.41222,53.39028,"Irmgard's Terrassen-Café; 21702 Ahlerstedt"
11.12500,48.45889,"Parkplatz am Freibad; 86551 Aichach"
7.85028,47.82139,"Belchenhotel Jägerstüble; 79677 Aitern"
7.85361,47.82611,"Hotel-Gasthof Belchen; 79677 Aitern"
8.11500,47.61417,"Gasthof Engel; 79774 Albbruck"
9.27972,54.15111,"Stellplatz am Freizeitbad Albersdorf; 25767 Albersdorf"
10.15778,49.77250,"An der Mainfähre; 97320 Albertshofen"
8.97833,48.21389,"Erlebnisbad Badkap; 72458 Albstadt"
7.11278,50.05250,"Freizeitbad Arrastal; 56859 Alf"
9.82694,51.98583,"Parkplatz Bornstraße; 31061 Alfeld (Leine)"
9.04389,47.74278,"Landgasthaus Mindelsee am Wild- und Freizeitpark; 78476 Allensbach"
11.14139,52.21333,"Hotel Allerhof; 39393 Alleringersleben"
11.23278,49.25056,"Parkplatz Hilpoltsteiner Straße; 90584 Allersberg"
10.96528,51.67778,"Hotel Harzer Land; 06507 Allrode"
9.27972,50.74833,"Am Erlenstadion; 36304 Alsfeld"
9.29083,50.76750,"Landgasthaus Schäferhof; 36304 Alsfeld"
9.24944,50.72444,"Gasthof Roth zur Linde; 36304 Alsfeld"
8.34722,49.76583,"Weingut Elisabethenhof; 67577 Alsheim"
12.32194,53.49194,"Inselcamping Werder; 17214 Alt Schwerin"
8.22028,49.28694,"Wein- und Sektgut Spelzenhof; 67482 Altdorf"
14.03389,51.64528,"Q1-Tankstelle und Rasthof Altdöbern; 03229 Altdöbern"
7.66028,51.30778,"Stellplatz an der Sauerlandhalle; 58762 Altena"
7.64694,51.27194,"Gasthof Spelsberg; 58762 Altena"
6.99167,50.51694,"Hotel Zum Weißen Kreuz; 53505 Altenahr"
10.43444,51.80194,"Waldparkplatz Alter Bahnhof; 38707 Altenau"
10.44361,51.79861,"Kristall-Therme Heißer Brocken; 38707 Altenau"
8.95056,51.76056,"Landhaus Friedenstal; 33184 Altenbeken"
7.46944,52.05528,"Parkplatz am Sportzentrum; 48341 Altenberge"
